locs,techs,energy_con
C1,ac_transmission:C2,1.0
C1,demand_power,1.0
C2,ac_transmission:C1,1.0
C2,ac_transmission:C3,1.0
C2,demand_power,1.0
C3,ac_transmission:C2,1.0
C3,ac_transmission:C4,1.0
C3,demand_power,1.0
C4,ac_transmission:C3,1.0
C4,ac_transmission:S1,1.0
C4,demand_power,1.0
C5,ac_transmission:S2,1.0
C5,demand_power,1.0
E1,ac_transmission:E2,1.0
E1,ac_transmission:S2,1.0
E1,demand_power,1.0
E2,ac_transmission:E1,1.0
E2,ac_transmission:E3,1.0
E2,demand_power,1.0
E3,ac_transmission:E2,1.0
E3,ac_transmission:E4,1.0
E3,demand_power,1.0
E4,ac_transmission:E3,1.0
E4,ac_transmission:E5,1.0
E4,demand_power,1.0
E5,ac_transmission:E4,1.0
E5,ac_transmission:N1,1.0
E5,demand_power,1.0
N1,ac_transmission:E5,1.0
N1,demand_power,1.0
N1,free_transmission:N1-PV1,1.0
N1,free_transmission:N1-PV2,1.0
N1,free_transmission:N1-PV3,1.0
N1,free_transmission:N1-PV4,1.0
N1,free_transmission:N1-PV5,1.0
N1,free_transmission:N1-PV6,1.0
N1,free_transmission:N1-PV7,1.0
N1-PV1,free_transmission:N1,1.0
N1-PV2,free_transmission:N1,1.0
N1-PV3,free_transmission:N1,1.0
N1-PV4,free_transmission:N1,1.0
N1-PV5,free_transmission:N1,1.0
N1-PV6,free_transmission:N1,1.0
N1-PV7,free_transmission:N1,1.0
S1,ac_transmission:C4,1.0
S1,ac_transmission:S2,1.0
S1,ac_transmission:S3,1.0
S1,demand_power,1.0
S2,ac_transmission:C5,1.0
S2,ac_transmission:E1,1.0
S2,ac_transmission:S1,1.0
S2,demand_power,1.0
S3,ac_transmission:S1,1.0
S3,demand_power,1.0
W1,ac_transmission:W2,1.0
W1,ac_transmission:W3,1.0
W1,demand_power,1.0
W2,ac_transmission:W1,1.0
W2,ac_transmission:W4,1.0
W2,ac_transmission:W6,1.0
W2,demand_power,1.0
W3,ac_transmission:W1,1.0
W3,ac_transmission:W4,1.0
W3,demand_power,1.0
W3,free_transmission:W3-PV1,1.0
W3,free_transmission:W3-PV2,1.0
W3,hvac_transmission:W3-IMP,1.0
W3-IMP,hvac_transmission:W3,1.0
W3-PV1,free_transmission:W3,1.0
W3-PV2,free_transmission:W3,1.0
W4,ac_transmission:W2,1.0
W4,ac_transmission:W3,1.0
W4,ac_transmission:W5,1.0
W4,demand_power,1.0
W4,free_transmission:W4-PV1,1.0
W4-PV1,free_transmission:W4,1.0
W5,ac_transmission:W4,1.0
W5,demand_power,1.0
W6,ac_transmission:W2,1.0
W6,demand_power,1.0
