locs,techs,lookup_remotes
C1,ac_transmission:C2,C2::ac_transmission:C1
C2,ac_transmission:C1,C1::ac_transmission:C2
C2,ac_transmission:C3,C3::ac_transmission:C2
C3,ac_transmission:C2,C2::ac_transmission:C3
C3,ac_transmission:C4,C4::ac_transmission:C3
C4,ac_transmission:C3,C3::ac_transmission:C4
C4,ac_transmission:S1,S1::ac_transmission:C4
C5,ac_transmission:S2,S2::ac_transmission:C5
E1,ac_transmission:E2,E2::ac_transmission:E1
E1,ac_transmission:S2,S2::ac_transmission:E1
E2,ac_transmission:E1,E1::ac_transmission:E2
E2,ac_transmission:E3,E3::ac_transmission:E2
E3,ac_transmission:E2,E2::ac_transmission:E3
E3,ac_transmission:E4,E4::ac_transmission:E3
E4,ac_transmission:E3,E3::ac_transmission:E4
E4,ac_transmission:E5,E5::ac_transmission:E4
E5,ac_transmission:E4,E4::ac_transmission:E5
E5,ac_transmission:N1,N1::ac_transmission:E5
N1,ac_transmission:E5,E5::ac_transmission:N1
N1,free_transmission:N1-PV1,N1-PV1::free_transmission:N1
N1,free_transmission:N1-PV2,N1-PV2::free_transmission:N1
N1,free_transmission:N1-PV3,N1-PV3::free_transmission:N1
N1,free_transmission:N1-PV4,N1-PV4::free_transmission:N1
N1,free_transmission:N1-PV5,N1-PV5::free_transmission:N1
N1,free_transmission:N1-PV6,N1-PV6::free_transmission:N1
N1,free_transmission:N1-PV7,N1-PV7::free_transmission:N1
N1-PV1,free_transmission:N1,N1::free_transmission:N1-PV1
N1-PV2,free_transmission:N1,N1::free_transmission:N1-PV2
N1-PV3,free_transmission:N1,N1::free_transmission:N1-PV3
N1-PV4,free_transmission:N1,N1::free_transmission:N1-PV4
N1-PV5,free_transmission:N1,N1::free_transmission:N1-PV5
N1-PV6,free_transmission:N1,N1::free_transmission:N1-PV6
N1-PV7,free_transmission:N1,N1::free_transmission:N1-PV7
S1,ac_transmission:C4,C4::ac_transmission:S1
S1,ac_transmission:S2,S2::ac_transmission:S1
S1,ac_transmission:S3,S3::ac_transmission:S1
S2,ac_transmission:C5,C5::ac_transmission:S2
S2,ac_transmission:E1,E1::ac_transmission:S2
S2,ac_transmission:S1,S1::ac_transmission:S2
S3,ac_transmission:S1,S1::ac_transmission:S3
W1,ac_transmission:W2,W2::ac_transmission:W1
W1,ac_transmission:W3,W3::ac_transmission:W1
W2,ac_transmission:W1,W1::ac_transmission:W2
W2,ac_transmission:W4,W4::ac_transmission:W2
W2,ac_transmission:W6,W6::ac_transmission:W2
W3,ac_transmission:W1,W1::ac_transmission:W3
W3,ac_transmission:W4,W4::ac_transmission:W3
W3,free_transmission:W3-PV1,W3-PV1::free_transmission:W3
W3,free_transmission:W3-PV2,W3-PV2::free_transmission:W3
W3,hvac_transmission:W3-IMP,W3-IMP::hvac_transmission:W3
W3-IMP,hvac_transmission:W3,W3::hvac_transmission:W3-IMP
W3-PV1,free_transmission:W3,W3::free_transmission:W3-PV1
W3-PV2,free_transmission:W3,W3::free_transmission:W3-PV2
W4,ac_transmission:W2,W2::ac_transmission:W4
W4,ac_transmission:W3,W3::ac_transmission:W4
W4,ac_transmission:W5,W5::ac_transmission:W4
W4,free_transmission:W4-PV1,W4-PV1::free_transmission:W4
W4-PV1,free_transmission:W4,W4::free_transmission:W4-PV1
W5,ac_transmission:W4,W4::ac_transmission:W5
W6,ac_transmission:W2,W2::ac_transmission:W6
