carriers,costs,techs,systemwide_levelised_cost
power,emission,ac_transmission:C3,0.0
power,emission,ac_transmission:C4,0.0
power,emission,ac_transmission:E2,0.0
power,emission,ac_transmission:S2,0.0
power,emission,ac_transmission:S3,0.0
power,emission,ac_transmission:W1,0.0
power,emission,ac_transmission:W3,0.0
power,emission,ac_transmission:W6,0.0
power,emission,biomass,0.0
power,emission,coal,848.9999999999649
power,emission,diesel,600.0000000000263
power,emission,free_transmission:N1-PV1,0.0
power,emission,free_transmission:N1-PV2,0.0
power,emission,free_transmission:N1-PV3,0.0
power,emission,free_transmission:N1-PV4,0.0
power,emission,free_transmission:N1-PV5,0.0
power,emission,free_transmission:N1-PV6,0.0
power,emission,free_transmission:N1-PV7,0.0
power,emission,free_transmission:W3-PV1,0.0
power,emission,free_transmission:W3-PV2,0.0
power,emission,free_transmission:W4-PV1,0.0
power,emission,gas,432.9999999999768
power,emission,hvac_transmission:W3-IMP,0.0
power,emission,hydro,0.0
power,emission,hydro_import,0.0
power,emission,solar,0.0
power,monetary,ac_transmission:C2,inf
power,monetary,ac_transmission:C3,4.8000080512929175
power,monetary,ac_transmission:C4,4.800010017220272
power,monetary,ac_transmission:E1,inf
power,monetary,ac_transmission:E2,4.8000323666594165
power,monetary,ac_transmission:S1,inf
power,monetary,ac_transmission:S2,4.8000137073250295
power,monetary,ac_transmission:S3,4.800013576527769
power,monetary,ac_transmission:W1,4.800007585373796
power,monetary,ac_transmission:W2,inf
power,monetary,ac_transmission:W3,4.800009369971336
power,monetary,ac_transmission:W4,inf
power,monetary,ac_transmission:W6,4.800025149280131
power,monetary,biomass,49.34586205325821
power,monetary,coal,26.47090355229014
power,monetary,diesel,46.43010863322733
power,monetary,free_transmission:N1-PV1,0.0
power,monetary,free_transmission:N1-PV2,0.0
power,monetary,free_transmission:N1-PV3,0.0
power,monetary,free_transmission:N1-PV4,0.0
power,monetary,free_transmission:N1-PV5,0.0
power,monetary,free_transmission:N1-PV6,0.0
power,monetary,free_transmission:N1-PV7,0.0
power,monetary,free_transmission:W3-PV1,0.0
power,monetary,free_transmission:W3-PV2,0.0
power,monetary,free_transmission:W4-PV1,0.0
power,monetary,gas,23.51347151382686
power,monetary,hvac_transmission:W3,inf
power,monetary,hvac_transmission:W3-IMP,11.200007968192528
power,monetary,hydro,29.26547122011213
power,monetary,hydro_import,29.71321069979785
power,monetary,solar,24.63666923011587
