coordinates,locs,loc_coordinates
lat,S1,-3.4291
lat,C2,-2.6221
lat,W4,0.1775
lat,W5,0.0639
lat,N2,2.8544
lat,W7,0.9075
lat,W6,-1.7742
lat,C5,-0.7442
lat,E4,0.3158
lat,E2,-1.1904
lat,S2,-2.2607
lat,C1,-2.6152
lat,C4,-2.855
lat,W2,0.0453
lat,E5,1.0533
lat,W1,0.8642
lat,E3,-0.4847
lat,W3-IMP,1.354
lat,N1,3.2988
lat,C3,-2.1166
lat,E1,-1.7614
lat,W3,1.1174
lat,S3,-3.5975
lon,S1,114.7738
lon,C2,112.9154
lon,W4,110.0471
lon,W5,110.9555
lon,N2,117.3867
lon,W7,112.9327
lon,W6,110.0303
lon,C5,115.0022
lon,E4,117.5022
lon,E2,116.8778
lon,S2,115.263
lon,C1,111.7037
lon,C4,114.279
lon,W2,109.2397
lon,E5,116.9215
lon,W1,108.9092
lon,E3,117.0814
lon,W3-IMP,110.3502
lon,N1,116.9458
lon,C3,113.7459
lon,E1,116.1132
lon,W3,109.5584
lon,S3,115.7526
